"Date","Approve","Disapprove"
2018-06-15,43.6583333333333,51.85
2018-06-18,42,52.3636363636364
2018-06-19,44.4333333333333,52.1888888888889
2018-06-20,42.8571428571429,51.7142857142857
2018-06-21,44.6833333333333,51.9666666666667
2018-06-22,42.9714285714286,53.5142857142857
2018-06-24,43.5,49
2018-06-25,41.8,51.4
2018-06-26,42.7636363636364,53.1181818181818
2018-06-27,41.3333333333333,53.5
2018-06-28,44.75,53
2018-06-29,42.9142857142857,52.4285714285714
2018-07-01,42.5,51
2018-07-02,43.6666666666667,52.6666666666667
2018-07-03,42.4538461538462,53.5076923076923
2018-07-05,43.5555555555556,51.6666666666667
2018-07-06,43.5875,53.3625
2018-07-08,43,52
2018-07-09,43.24,52.46
2018-07-10,42.1363636363636,54.1272727272727
2018-07-11,43.6,51.6
2018-07-12,45.75,52.25
2018-07-13,40.2714285714286,56.3142857142857
2018-07-14,42.8333333333333,52.1666666666667
2018-07-16,42.5,51.75
2018-07-17,40.95,54.33
2018-07-18,43.4,52.2
2018-07-19,44,52.8
2018-07-20,42.2571428571429,53.6142857142857
2018-07-21,41.3333333333333,53.1666666666667
2018-07-22,45,52
2018-07-23,41.6363636363636,53.1818181818182
2018-07-24,42.4909090909091,53.2727272727273
2018-07-25,42.5714285714286,52.1428571428571
2018-07-26,41.5,52.5
2018-07-27,43.5375,52.475
2018-07-29,42.8333333333333,52
2018-07-30,43.875,51.875
2018-07-31,44.0636363636364,52.6090909090909
2018-08-01,43.25,51.5
2018-08-02,46.6666666666667,52.3333333333333
2018-08-03,42.3833333333333,53.15
2018-08-06,43.25,52
2018-08-07,42.6625,53.1125
2018-08-08,45.3333333333333,50.8333333333333
2018-08-09,45.5,52.5
2018-08-10,43.0923076923077,52.4307692307692
2018-08-13,42.5,52.125
2018-08-14,44.3333333333333,52
2018-08-15,44,51.25
2018-08-16,44.7777777777778,51.7777777777778
2018-08-17,42.3333333333333,52.6666666666667
2018-08-20,42.8333333333333,51.9166666666667
2018-08-21,41,56
2018-08-22,43.2,52.895652173913
2018-08-23,43.8,54.6
2018-08-24,41.7777777777778,53.5555555555556
2018-08-26,45,51.5
2018-08-27,43.4285714285714,52.7142857142857
2018-08-28,41.7347826086957,54.3739130434783
2018-08-29,44.3,51.9666666666667
2018-08-30,45.6666666666667,53.6666666666667
2018-08-31,41.5555555555556,53.3333333333333
2018-09-03,42.7125,52.4125
2018-09-04,40.7133333333333,54.8066666666667
2018-09-05,42,53.4444444444444
2018-09-06,43.1111111111111,52.2222222222222
2018-09-07,47.5,52.5
2018-09-08,47,53
2018-09-10,40.4545454545455,54.0909090909091
2018-09-11,40.9933333333333,54.46
2018-09-12,41.5,52.5
2018-09-13,41.6666666666667,53.7777777777778
2018-09-14,47,51
2018-09-15,46.5,53.5
2018-09-17,41.8,52.7
2018-09-18,44.5463414634146,53.2926829268293
2018-09-19,43.5,52
2018-09-20,46,52.3333333333333
2018-09-21,43,54.5
2018-09-22,42.75,51.25
2018-09-23,44.6666666666667,52
2018-09-24,44.5,53
2018-09-25,44.1941176470588,52.7352941176471
2018-09-26,42.1111111111111,51.8888888888889
2018-09-27,45.6666666666667,53.3333333333333
2018-09-28,45.3333333333333,51
2018-09-29,44.1428571428571,51.7142857142857
2018-10-01,42.75,53.25
2018-10-02,43.628,52.86
2018-10-03,44,52
2018-10-04,46,50.8571428571429
2018-10-05,45.45,50.6833333333333
2018-10-06,49,51
2018-10-07,41.75,53.5
2018-10-08,44,51.6666666666667
2018-10-09,40.6285714285714,55.0964285714286
2018-10-10,43.2,51.8
2018-10-11,45,51.5714285714286
2018-10-12,43.6,52.6
2018-10-13,46,54
2018-10-14,42,53.5
2018-10-15,43.5,52.5
2018-10-16,42.1583333333333,53.4583333333333
2018-10-17,43.7666666666667,52.7703703703704
2018-10-18,44.8333333333333,52
2018-10-19,42,53.5
2018-10-20,45,53.2
2018-10-21,45,50.25
2018-10-22,44.1666666666667,52.3333333333333
2018-10-23,44.15,52.2666666666667
2018-10-24,44.3038461538462,51.8423076923077
2018-10-25,43.42,52.69
2018-10-26,42.7142857142857,52.5714285714286
2018-10-27,47.3333333333333,52.6666666666667
2018-10-28,43.5,51
2018-10-29,43,53.8333333333333
2018-10-30,44.0083333333333,52.55
2018-10-31,44,52.7272727272727
2018-11-01,43.5,52.3333333333333
2018-11-02,45.6666666666667,49.3333333333333
2018-11-03,45.2,53
2018-11-04,42.375,53.625
2018-11-05,43.9,52.9
2018-11-06,45.1833333333333,52.2333333333333
2018-11-07,44.5666666666667,51.7857142857143
2018-11-08,46.25,51.75
2018-11-09,44.2857142857143,52.2857142857143
2018-11-12,43,52.6666666666667
2018-11-13,44.247619047619,52.3666666666667
2018-11-14,43.4,52.4
2018-11-15,43.8125,53.3125
2018-11-16,43.7241379310345,53.6896551724138
2018-11-18,47,53
2018-11-19,44.8,52.6
2018-11-20,43.63,52.635
2018-11-21,44.6,51.2
2018-11-25,47,53
2018-11-26,42.6,55.8
2018-11-27,43.7692307692308,51.2076923076923
2018-11-28,41.7037037037037,52.4444444444444
2018-11-29,45.5,52
2018-11-30,44.2,52
2018-12-01,42.5,53.5
2018-12-02,46,53.3333333333333
2018-12-03,43.0769230769231,52.9230769230769
2018-12-04,43.6352941176471,51.8411764705882
2018-12-05,46.3333333333333,49.3333333333333
2018-12-06,43.625,52
2018-12-07,45,49
2018-12-08,45.5,52.5
2018-12-09,43.5,53.5
2018-12-10,43.7142857142857,53.8571428571429
2018-12-11,43.0464285714286,51.8857142857143
2018-12-12,44.6363636363636,51.6363636363636
2018-12-13,45.5,49.25
2018-12-14,46.9,52.4
2018-12-16,46,52.5
2018-12-17,43.4444444444444,53.3333333333333
2018-12-18,44.9625,51.7625
2018-12-19,43.4545454545455,52.2727272727273
2018-12-20,45.02,52.36
2018-12-21,44.5,54
2018-12-22,42.5,53.5
2018-12-24,43,53
2018-12-25,42.2333333333333,53.4
2018-12-26,43.12,53.4333333333333
2018-12-27,44.75,52.25
2018-12-28,45.3333333333333,54.3333333333333
2018-12-29,42.6,52.8
2018-12-30,42.125,53.25
2018-12-31,44.3333333333333,52.3333333333333
2019-01-01,42.5833333333333,52.6833333333333
2019-01-02,42.25625,53.75625
2019-01-03,43.4,53.4
2019-01-04,46.5,53
2019-01-05,41.5,54.5
2019-01-07,43.3333333333333,53.8333333333333
2019-01-08,41.638,53.146
2019-01-09,42.7719298245614,51.4385964912281
2019-01-10,43.5,54.25
2019-01-11,43.5,53.5
2019-01-12,42.8,54
2019-01-13,39.25,55.75
2019-01-14,43,54.3333333333333
2019-01-15,42.1333333333333,54.3166666666667
2019-01-16,40.6153846153846,54.5384615384615
2019-01-17,41.2,56
2019-01-18,44.0555555555556,53.8333333333333
2019-01-20,40.75,55.25
2019-01-21,42.3333333333333,56
2019-01-22,41.992,54.98
2019-01-23,40.9285714285714,56.0714285714286
2019-01-24,42.75,55.25
2019-01-25,41.1,56.1
2019-01-27,40.625,55
2019-01-28,42.75,55
2019-01-29,41.2818181818182,55.1363636363636
2019-01-30,40.7142857142857,55.7142857142857
2019-01-31,43.5,56
2019-02-01,42.3333333333333,55.3333333333333
2019-02-02,42,54
2019-02-03,40.5,55
2019-02-04,41.9,55.2
2019-02-05,41.6444444444444,55.05
2019-02-06,43.75,53
2019-02-07,44.75,52.75
2019-02-08,44.125,53.25
2019-02-10,42.5,53.25
2019-02-11,44.6666666666667,53.6666666666667
2019-02-12,43.1333333333333,53.8666666666667
2019-02-13,41.2086956521739,55.2347826086957
2019-02-14,43.25,53.5
2019-02-15,45.1666666666667,53.1666666666667
2019-02-16,42.8,51.1
2019-02-17,44,52
2019-02-18,45,53
2019-02-19,42.428,54.6
2019-02-20,45.5,51.75
2019-02-21,44.5,53
2019-02-22,44.2727272727273,53
2019-02-24,43,53
2019-02-25,44.5,53
2019-02-26,42.5238095238095,54.6333333333333
2019-02-27,43.7142857142857,52.2857142857143
2019-02-28,44.1666666666667,52.5
2019-03-01,43.75,52.75
2019-03-02,43,53.6666666666667
2019-03-03,42.4,54.4
2019-03-04,43.9666666666667,54.3
2019-03-05,41.7590909090909,54.5545454545455
2019-03-06,44.0909090909091,52.1818181818182
2019-03-07,48,51.5
2019-03-08,44,52.4285714285714
2019-03-09,43,52
2019-03-11,45.1666666666667,53.1666666666667
2019-03-12,42.425,53.865
2019-03-13,44.5,52
2019-03-14,43.6666666666667,53.6666666666667
2019-03-15,43.5714285714286,53.8571428571429
2019-03-16,44,50.5
2019-03-17,42,52.75
2019-03-18,44.25,52
2019-03-19,42.0818181818182,54.3454545454545
2019-03-20,42.8888888888889,54.1111111111111
2019-03-21,45,52.875
2019-03-22,43.6,53.0875
